Sample,Park,Ride,Average wait time,Type of ride,Distance from main gate,Min-max standardized distance,Distance Recoded
Six Flags,La Ronde,Monstre,48,Thrill,290,0.56,Far
Six Flags,La Ronde,Toboggan Nordique,46,Family,160,0.26,Close
Six Flags,La Ronde,Titan,31,Thrill,370,0.74,Far
Six Flags,La Ronde,Splash,30,Thrill,220,0.4,Close
Six Flags,La Ronde,Dragon,27,Family,210,0.37,Close
Six Flags,La Ronde,Minirail,21,Family,150,0.23,Closest
Six Flags,La Ronde,La Marche du mille-pattes,20,Kids,120,0.16,Closest
Six Flags,La Ronde,Boomerang,20,Thrill,200,0.35,Close
Six Flags,La Ronde,Chaos,20,Thrill,250,0.47,Close
Six Flags,La Ronde,Goliath,19,Thrill,480,1,Farthest
Six Flags,La Ronde,Orbite,18,Thrill,200,0.35,Close
Six Flags,La Ronde,Autos Tamponneuses,17,Family,250,0.47,Close
Six Flags,La Ronde,Vampire,16,Thrill,360,0.72,Far
Six Flags,La Ronde,Disco Ronde,16,Family,220,0.4,Close
Six Flags,La Ronde,Ednör,16,Thrill,360,0.72,Far
Six Flags,La Ronde,Phoenix,15,Family,230,0.42,Close
Six Flags,La Ronde,Joyeux Moussaillons,15,Kids,100,0.12,Closest
Six Flags,La Ronde,Bateau Pirate,15,Thrill,230,0.42,Close
Six Flags,La Ronde,Démon,14,Thrill,250,0.47,Close
Six Flags,La Ronde,Vol Ultime,13,Thrill,250,0.47,Close
Six Flags,La Ronde,Condor,13,Family,210,0.37,Close
Six Flags,La Ronde,Manitou,13,Thrill,210,0.37,Close
Six Flags,La Ronde,Tchou Tchou,12,Kids,140,0.21,Closest
Six Flags,La Ronde,La Danse des Bestioles,12,Kids,60,0.02,Closest
Six Flags,La Ronde,Gravitor,12,Family,230,0.42,Close
Six Flags,La Ronde,Marais Enchanté,12,Kids,90,0.09,Closest
Six Flags,La Ronde,Grande Roue,12,Family,130,0.19,Closest
Six Flags,La Ronde,Tourbillon,12,Family,250,0.47,Close
Six Flags,La Ronde,Vertigo,11,Thrill,250,0.47,Close
Six Flags,La Ronde,La Grande Envolée,11,Family,150,0.23,Closest
Six Flags,La Ronde,Tour de Ville,10,Family,310,0.6,Far
Six Flags,La Ronde,Pommes d’Api,10,Kids,90,0.09,Closest
Six Flags,La Ronde,Monsieur L’Arbre,10,Kids,60,0.02,Closest
Six Flags,La Ronde,Le Galopant,9,Kids,310,0.6,Far
Six Flags,La Ronde,Ourson Fripon,9,Kids,70,0.05,Closest
Six Flags,La Ronde,Grand Carousel,9,Kids,50,0,Closest
Six Flags,La Ronde,Aqua Twist,8,Family,170,0.28,Close
Six Flags,La Ronde,Air Papillon,8,Kids,100,0.12,Closest
Six Flags,Discovery Kingdom,THE JOKER,38,Thrill,200,0.33,Close
Six Flags,Discovery Kingdom,SUPERMAN Ultimate Flight,32,Thrill,200,0.33,Close
Six Flags,Discovery Kingdom,Wonder Woman Lasso of Truth,31,Thrill,170,0.23,Closest
