"","time_step","visitors","ride","spot_in_line","status","points","satisfaction","waited"
"1",1,1,"lamest",1,"r_lamest",1,0.5,0
"2",1,2,"lamest",1,"r_lamest",1,0.5,0
"3",1,3,"lamest",1,"r_lamest",1,0.5,0
"4",1,4,"okayest",1,"r_okayest",5,2.5,0
"5",1,5,"lamest",1,"r_lamest",1,0.5,0
"6",1,6,"coolest",1,"r_coolest",10,5,0
"7",1,7,"coolest",1,"r_coolest",10,5,0
"8",1,8,"coolest",1,"r_coolest",10,5,0
"9",1,9,"okayest",1,"r_okayest",5,2.5,0
"10",1,10,"coolest",1,"r_coolest",10,5,0
"11",1,11,"coolest",1,"r_coolest",10,5,0
"12",1,12,"okayest",1,"r_okayest",5,2.5,0
"13",1,13,"okayest",1,"r_okayest",5,2.5,0
"14",1,14,"okayest",1,"r_okayest",5,2.5,0
"15",1,15,"lamest",1,"r_lamest",1,0.5,0
"16",1,16,"coolest",1,"r_coolest",10,5,0
"17",1,17,"okayest",1,"r_okayest",5,2.5,0
"18",1,18,"coolest",1,"r_coolest",10,5,0
"19",1,19,"lamest",1,"r_lamest",1,0.5,0
"20",1,20,"lamest",1,"r_lamest",1,0.5,0
"21",1,21,"coolest",1,"r_coolest",10,5,0
"22",1,22,"lamest",1,"r_lamest",1,0.5,0
"23",1,23,"coolest",1,"r_coolest",10,5,0
"24",1,24,"lamest",1,"r_lamest",1,0.5,0
"25",1,25,"lamest",1,"r_lamest",1,0.5,0
"26",1,26,"okayest",1,"r_okayest",5,2.5,0
"27",1,27,"okayest",1,"r_okayest",5,2.5,0
"28",1,28,"lamest",1,"r_lamest",1,0.5,0
"29",1,29,"lamest",1,"r_lamest",1,0.5,0
"30",1,30,"okayest",1,"r_okayest",5,2.5,0
"31",1,31,"lamest",1,"r_lamest",1,0.5,0
"32",1,32,"okayest",1,"r_okayest",5,2.5,0
"33",1,33,"okayest",1,"r_okayest",5,2.5,0
"34",1,34,"okayest",1,"r_okayest",5,2.5,0
"35",1,35,"lamest",1,"r_lamest",1,0.5,0
"36",1,36,"okayest",1,"r_okayest",5,2.5,0
"37",1,37,"lamest",1,"r_lamest",1,0.5,0
"38",1,38,"lamest",1,"r_lamest",1,0.5,0
"39",1,39,"okayest",1,"r_okayest",5,2.5,0
"40",1,40,"okayest",1,"r_okayest",5,2.5,0
"41",1,41,"okayest",1,"r_okayest",5,2.5,0
"42",1,42,"lamest",1,"r_lamest",1,0.5,0
"43",1,43,"okayest",1,"r_okayest",5,2.5,0
"44",1,44,"lamest",1,"r_lamest",1,0.5,0
"45",1,45,"lamest",1,"r_lamest",1,0.5,0
"46",1,46,"okayest",1,"r_okayest",5,2.5,0
"47",1,47,"lamest",1,"r_lamest",1,0.5,0
"48",1,48,"okayest",1,"r_okayest",5,2.5,0
"49",1,49,"lamest",1,"r_lamest",1,0.5,0
"50",1,50,"coolest",1,"r_coolest",10,5,0
"51",1,51,"lamest",1,"r_lamest",1,0.5,0
"52",1,52,"okayest",1,"r_okayest",5,2.5,0
"53",1,53,"coolest",1,"r_coolest",10,5,0
"54",1,54,"okayest",1,"r_okayest",5,2.5,0
"55",1,55,"okayest",1,"r_okayest",5,2.5,0
"56",1,56,"coolest",1,"r_coolest",10,5,0
"57",1,57,"okayest",1,"r_okayest",5,2.5,0
"58",1,58,"coolest",1,"r_coolest",10,5,0
"59",1,59,"okayest",1,"r_okayest",5,2.5,0
"60",1,60,"coolest",1,"r_coolest",10,5,0
"61",1,61,"lamest",1,"r_lamest",1,0.5,0
"62",1,62,"coolest",1,"r_coolest",10,5,0
"63",1,63,"coolest",1,"r_coolest",10,5,0
"64",1,64,"coolest",1,"r_coolest",10,5,0
"65",1,65,"lamest",1,"r_lamest",1,0.5,0
"66",1,66,"lamest",1,"r_lamest",1,0.5,0
"67",1,67,"coolest",1,"r_coolest",10,5,0
"68",1,68,"okayest",1,"r_okayest",5,2.5,0
"69",1,69,"lamest",1,"r_lamest",1,0.5,0
"70",1,70,"coolest",1,"r_coolest",10,5,0
"71",1,71,"okayest",1,"r_okayest",5,2.5,0
"72",1,72,"lamest",1,"r_lamest",1,0.5,0
"73",1,73,"okayest",1,"r_okayest",5,2.5,0
"74",1,74,"okayest",1,"r_okayest",5,2.5,0
"75",1,75,"coolest",1,"r_coolest",10,5,0
"76",1,76,"okayest",1,"r_okayest",5,2.5,0
"77",1,77,"lamest",1,"r_lamest",1,0.5,0
"78",1,78,"okayest",1,"r_okayest",5,2.5,0
"79",1,79,"okayest",2,"w_okayest",0,0,1
"80",1,80,"coolest",1,"r_coolest",10,5,0
"81",1,81,"coolest",1,"r_coolest",10,5,0
"82",1,82,"okayest",2,"w_okayest",0,0,1
"83",1,83,"okayest",2,"w_okayest",0,0,1
"84",1,84,"coolest",1,"r_coolest",10,5,0
"85",1,85,"coolest",1,"r_coolest",10,5,0
"86",1,86,"okayest",2,"w_okayest",0,0,1
"87",1,87,"okayest",2,"w_okayest",0,0,1
"88",1,88,"coolest",1,"r_coolest",10,5,0
"89",1,89,"coolest",1,"r_coolest",10,5,0
"90",1,90,"okayest",2,"w_okayest",0,0,1
"91",1,91,"lamest",1,"r_lamest",1,0.5,0
"92",1,92,"lamest",1,"r_lamest",1,0.5,0
"93",1,93,"coolest",1,"r_coolest",10,5,0
"94",1,94,"coolest",1,"r_coolest",10,5,0
"95",1,95,"okayest",2,"w_okayest",0,0,1
"96",1,96,"lamest",2,"w_lamest",0,0,1
"97",1,97,"lamest",2,"w_lamest",0,0,1
"98",1,98,"lamest",2,"w_lamest",0,0,1
"99",1,99,"coolest",1,"r_coolest",10,5,0
"100",1,100,"coolest",1,"r_coolest",10,5,0
"101",1,101,"okayest",2,"w_okayest",0,0,1
"102",1,102,"okayest",2,"w_okayest",0,0,1
"103",1,103,"coolest",2,"w_coolest",0,0,1
"104",1,104,"lamest",2,"w_lamest",0,0,1
"105",1,105,"lamest",2,"w_lamest",0,0,1
"106",1,106,"lamest",2,"w_lamest",0,0,1
"107",1,107,"coolest",2,"w_coolest",0,0,1
"108",1,108,"coolest",2,"w_coolest",0,0,1
"109",1,109,"lamest",2,"w_lamest",0,0,1
"110",1,110,"lamest",2,"w_lamest",0,0,1
"111",1,111,"lamest",2,"w_lamest",0,0,1
"112",1,112,"okayest",2,"w_okayest",0,0,1
"113",1,113,"lamest",2,"w_lamest",0,0,1
"114",1,114,"lamest",2,"w_lamest",0,0,1
"115",1,115,"okayest",2,"w_okayest",0,0,1
"116",1,116,"lamest",2,"w_lamest",0,0,1
"117",1,117,"coolest",2,"w_coolest",0,0,1
"118",1,118,"lamest",2,"w_lamest",0,0,1
"119",1,119,"coolest",2,"w_coolest",0,0,1
"120",1,120,"coolest",2,"w_coolest",0,0,1
"79",2,79,"okayest",1,"r_okayest",5,1.1,1
"82",2,82,"okayest",1,"r_okayest",5,1.1,1
"83",2,83,"okayest",1,"r_okayest",5,1.1,1
"86",2,86,"okayest",1,"r_okayest",5,1.1,1
"87",2,87,"okayest",1,"r_okayest",5,1.1,1
"90",2,90,"okayest",1,"r_okayest",5,1.1,1
"95",2,95,"okayest",1,"r_okayest",5,1.1,1
"96",2,96,"lamest",1,"r_lamest",1,0,1
"97",2,97,"lamest",1,"r_lamest",1,0,1
"98",2,98,"lamest",1,"r_lamest",1,0,1
"101",2,101,"okayest",1,"r_okayest",5,1.1,1
"102",2,102,"okayest",1,"r_okayest",5,1.1,1
"103",2,103,"coolest",1,"r_coolest",10,2.4,1
"104",2,104,"lamest",1,"r_lamest",1,0,1
"105",2,105,"lamest",1,"r_lamest",1,0,1
"106",2,106,"lamest",1,"r_lamest",1,0,1
"107",2,107,"coolest",1,"r_coolest",10,2.4,1
"108",2,108,"coolest",1,"r_coolest",10,2.4,1
"109",2,109,"lamest",1,"r_lamest",1,0,1
"110",2,110,"lamest",1,"r_lamest",1,0,1
"111",2,111,"lamest",1,"r_lamest",1,0,1
"112",2,112,"okayest",1,"r_okayest",5,1.1,1
"113",2,113,"lamest",1,"r_lamest",1,0,1
"114",2,114,"lamest",1,"r_lamest",1,0,1
"115",2,115,"okayest",1,"r_okayest",5,1.1,1
"116",2,116,"lamest",1,"r_lamest",1,0,1
"117",2,117,"coolest",1,"r_coolest",10,2.4,1
"118",2,118,"lamest",1,"r_lamest",1,0,1
"119",2,119,"coolest",1,"r_coolest",10,2.4,1
"120",2,120,"coolest",1,"r_coolest",10,2.4,1
"1",2,1,"lamest",1,"r_lamest",2,0.3,0
"2",2,2,"lamest",1,"r_lamest",2,0.3,0
"3",2,3,"coolest",1,"r_coolest",11,2.6,0
"4",2,4,"okayest",1,"r_okayest",10,2.4,0
"5",2,5,"coolest",1,"r_coolest",11,2.6,0
"6",2,6,"lamest",1,"r_lamest",11,2.6,0
"7",2,7,"lamest",1,"r_lamest",11,2.6,0
"8",2,8,"coolest",1,"r_coolest",20,5,0
"9",2,9,"lamest",1,"r_lamest",6,1.3,0
"10",2,10,"okayest",1,"r_okayest",15,3.7,0
"11",2,11,"okayest",1,"r_okayest",15,3.7,0
"12",2,12,"coolest",1,"r_coolest",15,3.7,0
"13",2,13,"okayest",1,"r_okayest",10,2.4,0
"14",2,14,"lamest",1,"r_lamest",6,1.3,0
"15",2,15,"okayest",1,"r_okayest",6,1.3,0
"16",2,16,"coolest",1,"r_coolest",20,5,0
"17",2,17,"coolest",1,"r_coolest",15,3.7,0
"18",2,18,"okayest",1,"r_okayest",15,3.7,0
"19",2,19,"coolest",1,"r_coolest",11,2.6,0
"20",2,20,"okayest",1,"r_okayest",6,1.3,0
"21",2,21,"lamest",1,"r_lamest",11,2.6,0
"22",2,22,"okayest",1,"r_okayest",6,1.3,0
"23",2,23,"lamest",1,"r_lamest",11,2.6,0
"24",2,24,"okayest",1,"r_okayest",6,1.3,0
"25",2,25,"coolest",1,"r_coolest",11,2.6,0
"26",2,26,"lamest",1,"r_lamest",6,1.3,0
"27",2,27,"coolest",1,"r_coolest",15,3.7,0
"28",2,28,"coolest",1,"r_coolest",11,2.6,0
"29",2,29,"okayest",1,"r_okayest",6,1.3,0
"30",2,30,"okayest",1,"r_okayest",10,2.4,0
"31",2,31,"okayest",1,"r_okayest",6,1.3,0
"32",2,32,"coolest",1,"r_coolest",15,3.7,0
"33",2,33,"okayest",1,"r_okayest",10,2.4,0
